Food,Quantity,Calorie,Type
Whole Milk,1 glass,150,Protein
Cooked Cereal,1/2 cup,80,Carbohydrate
Chapatti,1,80,Carbohydrate
Idli,2,100,Carbohydrate
Biscuit (Sweet),15 gms,70,Carbohydrate
Parantha,1,170,Carbohydrate
Apple,1,59,Fiber
Banana,1,151,Fiber
Grapes,1,100,Fiber
Carrots,1,50,Fiber
Cucumber,1,17,Fibe
Egg,1,78,Protein
Bread,1,75,Carbohydrate
Brown Bread,1,76,Carbohydrate
Corn,1,132,Fiber
Sandwich,1,200,Carbohydrate
Yogurt,1 cup,154,Protein
Upama,1 plate,150,Carbohydrate
Poha,1 plate,120,Carbohydrate
