age ,gender,calorie
2,M,1000
3,M,1400
4,M,1400
5,M,1400
6,M,1600
7,M,1600
8,M,1600
9,M,1800
10,M,1800
11,M,2000
12,M,2200
13,M,2200
14,M,2400
15,M,2600
16,M,2800
17,M,2800
18,M,2800
19,M,2800
21,M,2800
26,M,2600
31,M,2600
36,M,2600
44,M,2600
47,M,2400
55,M,2400
60,M,2400
63,M,2400
68,M,2200
73,M,2200
79,M,2200
2,F,1000
3,F,1200
4,F,1400
5,F,1400
6,F,1400
7,F,1600
8,F,1600
9,F,1600
10,F,1800
11,F,1800
12,F,2000
13,F,2000
14,F,2000
15,F,2000
16,F,2000
17,F,2000
18,F,2000
20,F,2200
21,F,2200
27,F,2000
33,F,2000
36,F,2000
45,F,2000
50,F,2000
51,F,1800
57,F,1800
62,F,1800
67,F,1800
74,F,1800
89,F,1800
